Year,BBLT,TL,MafSul,Lianzi,Kambala,SouthNdola,Vanza,Longui,Sanha,Nemba,Fields,Rank
2019,26.22,9.03,0,19,0,10,50,100,0,82.18,BBLT,3
2020,27.6,3.48,11.28,55,100,0,19,50,100,100,TL,4
2021,35.42,0.46,95.8,0,0,0,0,0,0,100,MafSul,1
2022,26.77,0.89,78.68,0,40.51,150,0,50,0,100,Lianzi,2
2023,17.61,5.86,63.66,0,72.9,4.33,200,100,100,42.48,Kambala,5
2024,11.9,2.44,52.83,0,61.43,29.36,300,100,200,15.23,SouthNdola,6
2025,0,0,45.59,0,52.91,37.15,100,250,200,30,Vanza,9
2026,0,0,39.99,0,45.72,31.62,200,100,200,30,Longui,8
2027,0,0,34.29,0,39.82,31.72,0,0,200,30,Sanha,7
2028,0,0,79.24,0,34.79,33.28,0,0,422.33,30,Nemba,10
2029,0,0,69.85,0,30.63,28.56,0,0,378.68,30,,
2030,0,0,57.47,0,27.19,20.6,200,0,330.08,74.29,,
2031,0,0,42.35,0,24.4,14.36,0,0,320.38,165,,
2032,0,0,35.11,0,0.05,10.94,0,0,269.5,165,,
2033,0,0,28.28,0,0.05,9.38,0,0,230.81,165,,
2034,0,0,20.41,0,0.05,6.62,0,0,228.17,165,,
2035,0,0,19.08,0,0.05,5.77,0,0,227.48,165,,
2036,0,0,13.16,0,0.05,4.93,0,0,208.93,165,,
2037,0,0,10.45,0,0.05,3.74,300,0,182.42,146.39,,
2038,0,0,6.72,0,0.05,2.51,0,0,157.74,140,,
2039,0,0,9.22,0,0.05,1.29,0,0,135.76,140,,
2040,0,0,7.91,0,0.05,0,0,0,107.04,118.28,,
2041,0,0,0,0,0.05,0,0,0,102.57,92.22,,
2042,0,0,0,0,0.05,0,0,0,94.54,76.11,,
2043,0,0,0,0,0.04,0,0,0,83.46,62.22,,
2044,0,0,0,0,0,0,0,0,76.52,30.47,,
2045,0,0,0,0,0,0,0,0,61.75,0,,